experiment_id,model,phase,epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_s,timestamp
cross_dataset_2026-08-16_12-59-28_FER2013,convnext_v2_base,warm,1,1.80785,1.481156,0.312375,0.504011,3.00e-05,79.4,2026-08-16_13-00-50
cross_dataset_2026-08-16_12-59-28_FER2013,convnext_v2_base,warm,2,1.375334,1.3093,0.572575,0.582888,3.00e-07,70.64,2026-08-16_13-02-00
